0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:01:39 +0900] "GET /project1/styles/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:01:39 +0900] "GET /project1/image/Red/Dutch_van_der_Linde_Artwork.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:01:39 +0900] "GET /project1/image/Red/Arthur%20Morgan.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:01:39 +0900] "GET /project1/image/Red/red-dead-redemption-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:01:39 +0900] "GET /project1/image/Red/Milton_2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:01:39 +0900] "GET /project1/image/Red/John_RDR1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:01:39 +0900] "GET /project1/image/Red/Micah_Bell_Artwork.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:01:39 +0900] "GET /project1/image/Red/Colm.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:01:39 +0900] "GET /project1/image/Red/Edgar%20Ross.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:01:39 +0900] "GET /project1/image/Red/red-dead-redemption-75746.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:01:39 +0900] "GET /project1/image/Red/Sadie_official_art.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:01:40 +0900] "GET /project1/BF.jsp HTTP/1.1" 200 15344
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:01:40 +0900] "GET /project1/image/BF2042/Battlefield_2042_logo.svg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:02:14 +0900] "GET /project1/BF.jsp HTTP/1.1" 200 15344
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:02:14 +0900] "GET /project1/styles/header.css HTTP/1.1" 200 2481
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:02:14 +0900] "GET /project1/styles/nav.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:02:14 +0900] "GET /project1/styles/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:02:14 +0900] "GET /project1/image/GOW/GOW_Kratos.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:02:14 +0900] "GET /project1/image/BF2042/Battlefield_2042_logo.svg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:02:14 +0900] "GET /project1/styles/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:02:14 +0900] "GET /project1/image/GOW/GOW_Mimir.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:02:14 +0900] "GET /project1/image/GOW/GOW_Freya.jpg HTTP/1.1" 304 -
